,Rating,Title,Year
0,8.8,Inception,2010
1,8.7,The Matrix,1999
2,9.0,The Lord of the Rings: The Return of the King,2003
3,8.8,The Lord of the Rings: The Two Towers,2002
4,8.5,The Departed,2006
5,8.4,Avengers: Infinity War,2018
6,8.4,Raiders of the Lost Ark,1981
7,8.4,Spider-Man: Into the Spider-Verse,2018
8,8.4,Inglourious Basterds,2009
9,8.3,American Beauty,1999
10,8.1,Catch Me If You Can,2002
11,8.6,City of God,2002
12,7.8,The Irishman,2019
13,8.4,3 Idiots,2009
14,8.5,Once Upon a Time in the West,1968
15,8.2,Monty Python and the Holy Grail,1975
16,8.4,The Lives of Others,2006
17,8.2,Indiana Jones and the Last Crusade,1989
18,8.1,Trainspotting,1996
19,8.1,Room,2015
20,8.2,Kill Bill: Vol. 1,2003
21,8.0,The King's Speech,2010
22,8.2,Pan's Labyrinth,2006
23,0.0,Her 2014,2014
24,7.9,Marriage Story,2019
25,7.9,Dallas Buyers Club,2013
26,8.0,Kill Bill: Vol. 2,2004
27,6.7,Zombieland: Double Tap,2019
28,7.7,Ex Machina,2014
29,7.3,Black Panther,2018
30,8.0,Life of Brian,1979
31,7.8,Drive,2011
32,7.9,District 9,2009
33,8.2,Klaus,2019
34,8.1,Raging Bull,1980
35,7.5,Incredibles 2,2018
36,7.8,Moon,2009
37,8.3,A Separation,2011
38,7.3,Men in Black,1997
39,7.6,Hell or High Water,2016
40,8.0,Rosemary's Baby,1968
41,8.0,Sin City,2005
42,7.6,50/50,2011
43,7.7,Zodiac,2007
44,7.5,Ip Man 2,2010
45,7.8,The Fighter,2010
46,7.9,"Crouching Tiger, Hidden Dragon",2000
47,7.8,Ferris Bueller's Day Off,1986
48,7.8,The Hateful Eight,2015
49,7.5,Indiana Jones and the Temple of Doom,1984
50,7.6,Train to Busan,2016
51,7.4,Moonlight,2016
52,8.3,Dangal,2016
53,7.7,The Theory of Everything,2014
54,7.3,El Camino: A Breaking Bad Movie,2019
55,6.3,The Conjuring: The Devil Made Me Do It,2021
56,7.6,Scott Pilgrim vs. the World,2010
57,8.2,Searching for Sugar Man,2012
58,7.9,Short Term 12,2013
59,7.8,Willy Wonka & the Chocolate Factory,1971
60,8.0,The Pursuit of Happyness,2006
61,7.0,Ant-Man and the Wasp,2018
62,7.6,The Two Popes,2019
63,8.3,Like Stars on Earth,2007
64,5.4,What Men Want,2019
65,7.7,Crash,2004
66,8.0,Magnolia,1999
67,7.6,American Psycho,2000
68,8.0,The End of the F***ing World,2017
69,7.7,And Your Mother Too,2001
70,7.1,Snowpiercer,2013
71,7.2,Dolemite Is My Name,2019
72,8.0,Sling Blade,1996
73,7.4,Up in the Air,2009
74,7.0,To All the Boys I've Loved Before,2018
75,7.7,Donnie Brasco,1997
76,8.8,It's Always Sunny in Philadelphia,2005
77,7.7,As Good as It Gets,1997
78,7.8,About Time,2013
79,7.3,Sweeney Todd: The Demon Barber of Fleet Street,2007
80,8.1,A Silent Voice: The Movie,2016
81,7.6,The Naked Gun: From the Files of Police Squad!,1988
82,,Baahubali: Before the Beginning,0
83,7.7,Kung Fu Hustle,2004
84,7.7,Roma,2018
85,7.2,Grease,1978
