,Title,Release Date,Reach,Vote,Number of Votes,Language
0,Spider-Man: Across the Spider-Verse,2023-05-31,3368.627,8.5,3386,English
1,Transformers: Rise of the Beasts,2023-06-06,2160.316,7.5,2747,English
2,The Flash,2023-06-13,2108.713,7.0,2305,English
3,No Hard Feelings,2023-06-15,1978.358,7.1,562,English
4,Barbie,2023-07-19,1976.513,7.5,3013,English
5,Meg 2: The Trench,2023-08-02,1730.76,7.0,446,English
6,Elemental,2023-06-14,1711.569,7.7,877,English
7,The Flood,2023-07-14,1700.342,6.8,115,English
8,Insidious: The Red Door,2023-07-05,1601.636,6.9,846,English
9,Soulcatcher,2023-08-02,1585.721,6.5,100,Polish
10,Zom 100: Bucket List of the Dead,2023-08-03,1369.019,6.6,194,Japanese
11,Hidden Strike,2023-07-06,1365.563,7.1,545,English
12,The Little Mermaid,2023-05-18,1268.064,6.5,1598,English
13,Fast X,2023-05-17,1248.845,7.3,3338,English
14,Resident Evil: Death Island,2023-06-22,1056.505,7.7,535,Japanese
15,Guardians of the Galaxy Vol. 3,2023-05-03,1040.386,8.1,4292,English
16,River Wild,2023-08-01,986.412,6.5,57,English
17,Head to Head,2023-08-03,975.929,6.9,40,Arabic
18,Fear the Night,2023-07-21,894.241,6.7,91,English
19,Shin Kamen Rider,2023-03-17,864.834,7.2,152,Japanese
20,"Miraculous: Ladybug & Cat Noir, The Movie",2023-07-05,843.798,7.9,459,French
21,Justice League: Warworld,2023-07-25,836.395,7.4,139,English
22,"Ruby Gillman, Teenage Kraken",2023-06-28,821.236,7.6,527,English
23,Oppenheimer,2023-07-19,810.697,8.3,1929,English
24,Mavka: The Forest Song,2023-03-02,715.241,7.4,307,Ukrainian
25,John Wick: Chapter 4,2023-03-22,714.255,7.8,4149,English
26,Kingdom 3: The Flame of Fate,2023-07-28,711.472,8.2,37,Japanese
27,The Super Mario Bros. Movie,2023-04-05,699.22,7.8,6232,English
28,Warhorse One,2023-06-30,695.525,7.3,156,English
29,Heart of Stone,2023-08-09,674.892,7.1,394,English
30,Astonishing Tales of Terror: Rocktapussy!,2022-09-27,659.016,6.0,5,English
31,The Seven Deadly Sins: Grudge of Edinburgh Part 2,2023-08-08,637.917,8.6,33,Japanese
32,"Red, White & Royal Blue",2023-07-27,603.792,8.4,361,English
33,Knights of the Zodiac,2023-04-27,596.191,6.7,736,English
34,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,2023-07-21,584.016,7.1,39,English
35,Talk to Me,2023-07-26,575.662,7.0,157,English
36,The Outwaters,2023-02-09,568.224,4.6,31,English
37,La Leyenda de los Chaneques,2023-07-14,495.16,8.5,153,Spanish
38,Sound of Freedom,2023-07-03,477.901,8.2,361,English
39,What the Waters Left Behind: Scars,2023-04-27,474.006,6.0,1,Spanish
40,Mission: Impossible - Dead Reckoning Part One,2023-07-08,466.303,7.8,986,English
41,The Meg,2018-08-09,452.712,6.2,6799,English
42,Avatar: The Way of Water,2022-12-14,433.483,7.7,9472,English
43,The Gates,2022-11-18,424.286,7.5,10,English
44,Jericho Ridge,2023-07-14,423.445,7.0,3,English
45,San Andreas,2015-05-27,418.772,6.2,7931,English
46,My Fault,2023-06-08,418.604,8.2,1462,Spanish
47,One Piece Film Red,2022-08-06,407.229,7.4,622,Japanese
48,Puss in Boots: The Last Wish,2022-12-07,391.677,8.3,6163,English
49,Extraction 2,2023-06-09,378.036,7.5,1625,English
50,Older Gods,2023-03-01,368.285,5.1,14,English
51,Zoey 102,2023-07-27,363.292,7.1,93,English
52,Hypnotic,2023-05-11,354.435,6.5,395,English
53,The Darkest Minds,2018-07-25,332.832,7.0,2563,English
54,Guy Ritchie's The Covenant,2023-04-19,332.432,7.8,1395,English
55,War of the Worlds: The Attack,2023-04-21,315.586,5.3,88,English
56,Los Habitantes,2023-04-27,313.414,6.9,46,Spanish
57,The Pope's Exorcist,2023-04-05,309.912,7.2,1768,English
58,Fresh,2022-03-03,309.043,7.0,1234,English
59,Shadow Master,2022-11-03,305.277,6.9,73,English
60,Mr. Car and the Knights Templar,2023-07-12,303.482,6.4,96,Polish
61,The Black Demon,2023-04-26,298.443,6.3,429,English
62,Ant-Man and the Wasp: Quantumania,2023-02-15,297.577,6.5,3777,English
63,Blue Beetle,2023-08-16,293.033,7.5,21,English
64,Sisu,2023-01-27,288.236,7.5,1171,Finnish
65,The Out-Laws,2023-07-07,286.419,6.2,421,English
66,American Girl: Corinne Tan,2023-07-28,284.553,6.5,4,English
67,Evil Dead Rise,2023-04-12,283.875,7.0,2114,English
68,Confidential Informant,2023-06-27,282.524,6.5,82,English
69,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,275.392,8.2,1265,English
70,Megalodon,2018-08-10,272.23,5.7,254,English
71,The Conjuring: The Devil Made Me Do It,2021-05-25,266.863,7.5,5296,English
72,God Is a Bullet,2023-06-22,254.88,6.4,85,English
73,Indiana Jones and the Dial of Destiny,2023-06-28,248.864,6.6,940,English
74,Insidious: The Last Key,2018-01-03,247.844,6.3,2623,English
75,Bite Night,2022-01-12,241.922,8.0,3,English
76,Shazam! Fury of the Gods,2023-03-15,239.926,6.7,2260,English
77,Oink,2022-07-01,239.632,7.8,22,Dutch
78,Mortal Kombat Legends: Battle of the Realms,2021-08-31,236.342,7.7,380,English
79,A Good Day to Die Hard,2013-02-06,236.091,5.3,5995,English
80,Creed III,2023-03-01,233.985,7.2,1882,English
81,Spider-Man: No Way Home,2021-12-15,232.469,8.0,18030,English
82,Sheroes,2023-06-23,231.636,6.4,89,English
83,Encanto,2021-10-13,230.427,7.6,8479,English
84,Bird Box Barcelona,2023-07-14,227.216,6.1,418,Spanish
85,The Wrath of Becky,2023-05-26,225.934,6.7,118,English
86,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,225.435,7.4,171,English
87,Quicksand,2023-08-31,225.156,0.0,0,English
88,Bad City,2022-07-05,223.275,6.7,41,Japanese
89,Black Panther: Wakanda Forever,2022-11-09,221.774,7.2,5295,English
90,GANTZ:O,2016-10-14,217.417,7.3,673,Japanese
91,Scream VI,2023-03-08,214.651,7.2,1614,English
92,Coraline,2009-02-05,212.652,7.8,6806,English
93,Cold Eyes,2013-07-03,210.065,7.5,295,Korean
94,Forrest Gump,1994-06-23,209.853,8.5,25159,English
95,Black Adam,2022-10-19,208.402,7.0,5335,English
96,Little Bone Lodge,2023-03-11,204.109,7.4,163,English
97,My House,2023-03-07,203.283,5.6,21,English
98,Eradication,2022-07-15,201.085,6.5,101,English
99,Suzume,2022-11-11,200.524,7.8,566,Japanese
100,Eradication,2022-07-15,201.085,6.5,101,English
101,Suzume,2022-11-11,200.524,7.8,566,Japanese
102,Deep Sea,2023-01-22,192.768,7.3,47,Chinese
103,Gran Turismo,2023-08-09,197.718,7.2,77,English
104,Youthful Older Sister,2018-03-15,189.379,0.0,0,Korean
105,Ghosted,2023-04-18,188.775,7.1,1197,English
